roadnumber	country
BR-380	Brasil
BR-381	Brasil
BR-383	Brasil
BR-384	Brasil
BR-386	Brasil
BR-387	Brasil
BR-392	Brasil
BR-393	Brasil
BR-394	Brasil
BR-395	Brasil
BR-396	Brasil
BR-401	Brasil
BR-402	Brasil
BR-403	Brasil
BR-404	Brasil
BR-405	Brasil
BR-406	Brasil
BR-407	Brasil
BR-408	Brasil
BR-409	Brasil
BR-410	Brasil
BR-411	Brasil
BR-412	Brasil
BR-414	Brasil
BR-415	Brasil
BR-417	Brasil
BR-418	Brasil
BR-419	Brasil
BR-420	Brasil
BR-421	Brasil
BR-422	Brasil
BR-423	Brasil
BR-424	Brasil
BR-425	Brasil
BR-426	Brasil
BR-427	Brasil
BR-428	Brasil
BR-429	Brasil
BR-430	Brasil
BR-431	Brasil
BR-432	Brasil
BR-436	Brasil
BR-437	Brasil
BR-442	Brasil
BR-443	Brasil
BR-447	Brasil
BR-448	Brasil
BR-449	Brasil
BR-450	Brasil
BR-451	Brasil
BR-452	Brasil
BR-453	Brasil
BR-455	Brasil
BR-456	Brasil
BR-457	Brasil
BR-458	Brasil
BR-459	Brasil
BR-460	Brasil
BR-461	Brasil
BR-462	Brasil
BR-463	Brasil
BR-464	Brasil
BR-465	Brasil
BR-466	Brasil
BR-467	Brasil
BR-468	Brasil
BR-469	Brasil
BR-470	Brasil
BR-471	Brasil
BR-472	Brasil
BR-473	Brasil
BR-474	Brasil
BR-475	Brasil
BR-476	Brasil
BR-477	Brasil
BR-478	Brasil
BR-479	Brasil
BR-480	Brasil
BR-481	Brasil
BR-482	Brasil
BR-483	Brasil
BR-484	Brasil
BR-485	Brasil
BR-486	Brasil
BR-487	Brasil
BR-488	Brasil
BR-489	Brasil
BR-491	Brasil
BR-492	Brasil
BR-493	Brasil
BR-494	Brasil
BR-495	Brasil
BR-496	Brasil
BR-497	Brasil
BR-505	Brasil
BR-507	Brasil
BR-510	Brasil
BR-511	Brasil
BR-512	Brasil
BR-523	Brasil
BR-535	Brasil
BR-581	Brasil
BR-585	Brasil
BR-604	Brasil
BR-612	Brasil
BR-634	Brasil
BR-650	Brasil
BR-660	Brasil
BR-670	Brasil
BR-676	Brasil
BR-696	Brasil
BR-830	Brasil
BR-878	Brasil
BR-881	Brasil
BR-99	Brasil
BR - 101	Brasil
BR 120	Brasil
BR 146	Brasil
BR 153	Brasil
BR 154	Brasil
BR 238	Brasil
BR 262	Brasil
BR 402	Brasil
BR 491	Brasil
CAM-367	Brasil
CE-020	Brasil
CE-021	Brasil
CE-025	Brasil
CE-032	Brasil
CE-040	Brasil
CE-045	Brasil
CE-046	Brasil
CE-050	Brasil
CE-055	Brasil
CE-060	Brasil
CE-065	Brasil
CE-066	Brasil
CE-06O	Brasil
CE-071	Brasil
CE-075	Brasil
CE-080	Brasil
CE-085	Brasil
CE-086	Brasil
CE-090	Brasil
CE-095	Brasil
CE-105	Brasil
CE-110	Brasil
CE-113	Brasil
CE-115	Brasil
CE-116	Brasil
CE-117	Brasil
CE-119	Brasil
CE-122	Brasil
CE-123	Brasil
CE-135	Brasil
CE-138	Brasil
CE-145	Brasil
CE-151	Brasil
CE-152	Brasil
CE-153	Brasil
CE-156	Brasil
CE-162	Brasil
CE-163	Brasil
CE-166	Brasil
CE-168	Brasil
CE-169	Brasil
CE-170	Brasil
CE-176	Brasil
CE-178	Brasil
CE-179	Brasil
CE-183	Brasil
CE-187	Brasil
CE-189	Brasil
CE-192	Brasil
CE-201	Brasil
CE-202	Brasil
CE-207	Brasil
CE-208	Brasil
CE-209	Brasil
CE-211	Brasil
CE-215	Brasil
CE-216	Brasil
CE-221	Brasil
CE-224	Brasil
CE-226	Brasil
CE-228	Brasil
CE-230	Brasil
CE-235	Brasil
CE-240	Brasil
CE-241	Brasil
CE-243	Brasil
CE-253	Brasil
CE-257	Brasil
CE-261	Brasil
CE-263	Brasil
CE-264	Brasil
CE-265	Brasil
CE-266	Brasil
CE-269	Brasil
CE-275	Brasil
CE-277	Brasil
CE-282	Brasil
CE-284	Brasil
CE-286	Brasil
CE-288	Brasil
CE-292	Brasil
CE-293	Brasil
CE-297	Brasil
CE-304	Brasil
CE-311	Brasil
CE-313	Brasil
CE-319	Brasil
CE-321	Brasil
CE-323	Brasil
CE-329	Brasil
CE-338	Brasil
CE-341	Brasil
CE-346	Brasil
CE-348	Brasil
CE-350	Brasil
CE-351	Brasil
CE-354	Brasil
CE-356	Brasil
CE-358	Brasil
CE-359	Brasil
CE-362	Brasil
CE-363	Brasil
CE-364	Brasil
CE-366	Brasil
CE-368	Brasil
CE-371	Brasil
CE-373	Brasil
CE-375	Brasil
CE-377	Brasil
CE-384	Brasil
CE-385	Brasil
CE-386	Brasil
CE-388	Brasil
CE-390	Brasil
CE-397	Brasil
CE-404	Brasil
CE-421	Brasil
CE-423	Brasil
CE-427	Brasil
CE-431	Brasil
CE-434	Brasil
CE-440	Brasil
CE-442	Brasil
CE-451	Brasil
CE-455	Brasil
CE-456	Brasil
CE-465	Brasil
CE-467	Brasil
CE-469	Brasil
D-105	Brasil
DF-001	Brasil
DF-002	Brasil
DF-003	Brasil
DF-004	Brasil
DF-005	Brasil
DF-007	Brasil
DF-009	Brasil
DF-015	Brasil
DF-025	Brasil
DF-035	Brasil
DF-047	Brasil
DF-051	Brasil
DF-055	Brasil
DF-065	Brasil
DF-075	Brasil
DF-079	Brasil
DF-085	Brasil
DF-087	Brasil
DF-095	Brasil
DF-097	Brasil
DF-100	Brasil
DF-105	Brasil
DF-110	Brasil
DF-120	Brasil
DF-125	Brasil
DF-128	Brasil
DF-130	Brasil
DF-131	Brasil
DF-140	Brasil
DF-150	Brasil
DF-180	Brasil
DF-190	Brasil
DF-205	Brasil
DF-230	Brasil
DF-240	Brasil
DF-250	Brasil
DF-251	Brasil
DF-260	Brasil
DF-280	Brasil
DF-285	Brasil
DF-290	Brasil
DF-310	Brasil
DF-320	Brasil
DF-322	Brasil
DF-325	Brasil
DF-330	Brasil
DF-345	Brasil
DF-355	Brasil
DF-405	Brasil
DF-410	Brasil
DF-430	Brasil
